Reference, Value, Footprint, Datasheet, Cost QTY: 1, Cost QTY: 1000, Cost QTY: 10000, Cost QTY: 2500, Cost QTY: 5000, Date Created, Date Modified, Description, Designer, Height, Lead-Free ?, MFR, MFR#, Management_ID, Mounting, Package, Pin Count #, RoHS Levels, Status, Tolerance, Type, Vendor, Vendor #, Voltage, _Value_
"T4","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"T5","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"T6","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"T7","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"C4","UWT1H470MCL1GS","growbox-KiCAD-Capacitors:UWT1H470MCL1GS","https://www.nichicon.co.jp/english/products/pdfs/e-uux.pdf","0.50","0.12174","0.09739","0.11566","0.10348","3/9/2020","3/9/2020","47µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD  1000 Hrs @ 105°C","AVR","10.5mm","Yes","Nichicon","UWT1H470MCL1GS","*","SMT","*","2","1","Active","20%","Aluminum Electrolytic Cap","Digikey","493-2225-1-ND","63V","47uF"
"T10","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"T9","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"T8","1755736","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_02x5.08mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","0.64000","0.45518","*","0.43375","0.40698","3/11/2020","3/11/2020","2 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.200" (5.08mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755736","*","ThroughHole","*","2","1","Active","*","Connector, Terminal Block ","Digikey","277-1150-ND","300V","1755736"
"M1","D36V50F3","growbox-KiCAD-Modules:D36V50Fx","https://www.pololu.com/file/0J1732/d36v50fx-step-down-voltage-regulator-dimensions.pdf","22.95","*","*","*","*","3/20/2019","3/20/2019","This powerful synchronous switching step-down (or buck) regulator takes an input voltage from 4.5 V to 50 V and efficiently reduces it to 3.3 V. The board measures only 1″ × 1″ yet delivers typical maximum continuous output currents between 4.5 A and 9.5 A, depending on the input voltage, which makes it well suited for powering moderate to large loads. An optional enable input with a precise cutoff threshold can be used to put the regulator in a low-power state with a current draw of 10 µA to 20 µA per volt on VIN. The regulator also features reverse voltage protection and a power-good output that indicates when the regulator cannot adequately maintain the output voltage.","AVR","14.02mm","Yes","Pololu","D36V50F3","*","ThroughHole W/ Standoffs","Proprietary PCB Module","12","1","Active","*","DCDC Regulator Module","*","*","50V In 3.3V OUT","D36V50F3"
"M2","D36V50F5","growbox-KiCAD-Modules:D36V50Fx","https://www.pololu.com/file/0J1732/d36v50fx-step-down-voltage-regulator-dimensions.pdf","19.95","*","*","*","*","3/20/2019","3/20/2019","This powerful synchronous switching step-down (or buck) regulator takes an input voltage of up to 50 V and efficiently reduces it to 5 V. The board measures only 1″ × 1″ yet delivers typical maximum continuous output currents between 3.5 A and 8 A, depending on the input voltage, which makes it well suited for powering moderate to large loads. An optional enable input with a precise cutoff threshold can be used to put the regulator in a low-power state with a current draw of 10 µA to 20 µA per volt on VIN. The regulator also features reverse voltage protection and a power-good output that indicates when the regulator cannot adequately maintain the output voltage.","AVR","14.02mm","Yes","Pololu","D36V50F5","*","ThroughHole W/ Standoffs","Proprietary PCB Module","12","1","Active","*","DCDC Regulator Module","*","*","50V In 5V OUT","D36V50F5"
